POI_NAME,POI_TYPE
J Salon,Retail
Bettys Bar & Grille,Retail
Spencer Auto Body Shop,Retail
Street Maintenance Operations ,Government
J J Hammond Company,Industrial
Sutherlands Lumber,Retail
Ross Heart Hospital,Medical
Marlan J Gary Funeral Home,Retail
Islamic Cemetery,Public Places
Fairmoor Presbyterian Church,Public Places
Saturday's,Retail
Tim Hortons,Retail
License Resque,Retail
John Holt Race Cars,Office
Twisted Graphics Studio Tattoo Shop,Retail
Midwest Auto Collision,Retail
Southern Theatre,Public Places
Subway,Retail
Marion's Variety Shop,Retail
Student Book Exchange,Retail
North Linden Elementary School,Education
Jersey Mike's Subs,Retail
Rodriguez Auto Service,Retail
AMG PacLease,Industrial
Ohio Academy,Medical
Grandview Cycle,Retail
Ohio Shades Of Green,Retail
AEP Electric Substation,Industrial
Keystone Granite and Tile,Retail
Lifepoint Church of the Nazarene,Public Places
Bibibop,Retail
Catherines,Retail
Stephanie's Salon,Retail
S&R Carryout,Retail
Alro Steel,Industrial
Woody's Salvage Yard,Retail
Miracle Motor Mart,Retail
Scholz & Ey Engravers,Retail
Ohio Label,Industrial
Egner Construction,Retail
Terra Fire Suppression Systems,Industrial
Dandy Bikes,Retail
Goodwill,Retail
Blue Line Columbus,Industrial
The Eischen Group,Office
Burn Boot Camp,Retail
Namaste Indo,Retail
Hudson Detailing,Retail
Circle K,Retail
Driving Park Animal Hospital,Medical
D W Ranney & Sons,Retail
Axis Nightclub,Retail
Bob Evans,Retail
Big Fun Columbus,Retail
Second Sole,Retail
B.O.S.S. Fitness,Retail
Minerva Market,Retail
Finish Line,Retail
Turner Studio & Gallery,Retail
Huntington Learning Center,Education
1830 Professional Building,Office
CVS,Retail
American Communications,Retail
Build,Retail
South Side Audio,Retail
Jendco Safety Supply,Retail
Young Adult Services,Office
La Michoacana,Retail
Tattoo Cartel,Retail
Refuse Collection ,Government
Allied Fabricating & Welding,Industrial
Standard Hall,Retail
COTA Easton Transit Center,Transportation
Cumin Indian Restaurant,Retail
The 502 Club,Retail
Arlington Chiropractic Clinic,Medical
The Market Italian Village,Retail
The Land,Retail
Liv,Public Places
Super Suppers,Retail
Tansky's Advanced Autobody & Paint Center,Retail
Check Exchange,Retail
Gaddis & Son,Retail
Mt Carmel Heart & Vascular Specialists,Medical
Srico,Office
S A W A Corp,Retail
Phillip C Demio MD,Medical
Perfect Cuts Salon,Retail
Hill Allison & De Weese,Office
H & E Auto Sales,Retail
Koncept J Web Design,Office
Mika's Cupcakes and Creams,Retail
Metro City Doggie,Retail
Ziggy's,Retail
Advance Auto Parts,Retail
Northland Day Care,Education
Beauty World,Retail
Red Tree Tattoo Gallery,Retail
Perfect Alterations,Retail
Domino's Pizza,Retail
Old Navy,Retail
Warehouse Services,Retail
Bexley MotorCar,Retail
Fogle's Automotive Service,Retail
Electric Car Charging Station,Transportation
BakerCorp,Retail
Carpe Diem Dermal Art Studio,Retail
Graphic Touch,Retail
The Hills Market Downtown,Retail
34 E Fulton St Garage,Transportation
OhioHealth Urgent Care,Medical
National Check Cashers,Retail
McCoy Center ,Office
AAA| Car Care Plus,Retail
Azia Rug Gallery,Retail
Holiday Inn Express & Suites,Retail
Deliverance Church of God,Public Places
Community Christian Church,Public Places
Dee Printing,Retail
Jimmy V's Grill & Pub,Retail
Coup Restorations,Retail
Columbus Metropolitan Housing Authority,Office
Creative Colors International,Retail
Astoria Place of Columbus,Group Quarters
Johnson Auto & Truck Repair,Retail
The Underwater Connection,Retail
Ajax Industries,Retail
Walgreens,Retail
Lululemon Athletica,Retail
Brassica Mediterranean Restaurant,Retail
Discount Used Tire Co,Retail
KJ Tooling,Retail
Buckeye Asian Express,Retail
Aitken & Associates Advertising,Office
McDonald's,Retail
Tim Hortons,Retail
Kise Tranmission,Retail
Sand Hill Wholesale,Retail
Northwest Title,Retail
Columbus Bargain House Appliance and Parts,Retail
Growing Minds Academy,Education
Camps Carryout,Retail
K'Effs,Industrial
George's Pizza,Retail
Volunteers of America Thrift Store,Retail
Regency Beauty Institute,Retail
Dance Tonight Columbus,Retail
Sync Creative,Office
Panera Bread,Retail
